	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
0	1	2.0662	0.2567	2.0419	0.2754	64	relu	xent
1	2	2.0722	0.2623	2.0879	0.2579	64	relu	xent
2	3	2.0762	0.2637	2.1167	0.2725	64	relu	xent
3	4	2.0924	0.2482	2.1070	0.2669	64	relu	xent
4	5	2.0743	0.2604	2.1070	0.2510	64	relu	xent
5	6	2.0930	0.2525	2.1579	0.2160	64	relu	xent
6	7	2.0929	0.2395	2.0783	0.2479	64	relu	xent
7	8	2.0986	0.2454	2.0722	0.2500	64	relu	xent
8	9	2.1057	0.2308	2.1018	0.2155	64	relu	xent
9	10	2.0545	0.2579	2.1631	0.2177	64	relu	xent
10	11	2.1063	0.2389	2.1098	0.2269	64	relu	xent
11	12	2.0755	0.2508	2.0714	0.2401	64	relu	xent
12	13	2.0555	0.2531	2.1538	0.2503	64	relu	xent
13	14	2.0712	0.2468	2.1033	0.2733	64	relu	xent
14	15	2.0852	0.2390	2.1419	0.2173	64	relu	xent
15	16	2.1835	0.1824	2.1916	0.1960	64	relu	xent
16	17	2.1176	0.2213	2.1950	0.2022	64	relu	xent
17	18	2.1038	0.2318	2.2173	0.2193	64	relu	xent
18	19	2.1490	0.2073	2.1397	0.2444	64	relu	xent
19	20	2.1198	0.2200	2.1594	0.2267	64	relu	xent
20	1	2.0560	0.2720	2.0797	0.2764	128	relu	xent
21	2	2.0822	0.2639	2.1946	0.2621	128	relu	xent
22	3	2.0757	0.2643	2.1177	0.2785	128	relu	xent
23	4	2.0820	0.2633	2.0329	0.2786	128	relu	xent
24	5	2.0698	0.2668	2.0790	0.2711	128	relu	xent
25	6	2.0830	0.2592	2.0703	0.2933	128	relu	xent
26	7	2.0831	0.2621	2.1109	0.2239	128	relu	xent
27	8	2.0492	0.2784	2.1147	0.2647	128	relu	xent
28	9	2.0669	0.2638	2.0957	0.2663	128	relu	xent
29	10	2.0695	0.2612	2.1405	0.2419	128	relu	xent
30	11	2.1025	0.2535	2.1265	0.2543	128	relu	xent
31	12	2.0729	0.2613	2.1032	0.2422	128	relu	xent
32	13	2.0630	0.2638	2.0955	0.2885	128	relu	xent
33	14	2.0658	0.2646	2.1179	0.2939	128	relu	xent
34	15	2.0852	0.2517	2.1008	0.2402	128	relu	xent
35	16	2.0721	0.2609	2.0885	0.2690	128	relu	xent
36	17	2.0556	0.2707	2.1003	0.2493	128	relu	xent
37	18	2.0443	0.2746	2.1135	0.2591	128	relu	xent
38	19	2.0611	0.2601	2.1391	0.2793	128	relu	xent
39	20	2.0535	0.2705	2.1621	0.2026	128	relu	xent
40	1	2.0389	0.2825	2.1644	0.2735	256	relu	xent
41	2	2.0485	0.2796	2.1419	0.2491	256	relu	xent
42	3	2.0623	0.2795	2.0851	0.2759	256	relu	xent
43	4	2.0648	0.2765	2.0760	0.2784	256	relu	xent
44	5	2.0748	0.2706	2.1154	0.2677	256	relu	xent
45	6	2.0776	0.2688	2.1410	0.2291	256	relu	xent
46	7	2.0606	0.2769	2.0523	0.2950	256	relu	xent
47	8	2.0650	0.2734	2.1860	0.2349	256	relu	xent
48	9	2.0604	0.2801	2.0883	0.2756	256	relu	xent
49	10	2.0646	0.2700	2.0763	0.2601	256	relu	xent
50	11	2.0603	0.2694	2.0978	0.2414	256	relu	xent
51	12	2.0520	0.2746	2.1529	0.2524	256	relu	xent
52	13	2.0767	0.2661	2.1227	0.2491	256	relu	xent
53	14	2.0565	0.2753	2.0478	0.2876	256	relu	xent
54	15	2.0471	0.2785	2.1173	0.2426	256	relu	xent
55	16	2.0633	0.2703	2.1391	0.2554	256	relu	xent
